seed,width,depth,rounding,bits,final_train_acc,final_test_acc,best_test_acc,final_loss
42,4,8,ceil,8,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6932716369628906
42,4,8,ceil,4,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6932873725891113
42,4,10,nearest,8,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.6931747198104858
42,4,10,nearest,4,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6928377747535706
42,4,10,floor,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6927381157875061
42,4,10,floor,4,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6927280426025391
42,4,10,ceil,8,0.4962500035762787,0.5149999856948853,0.5149999856948853,0.6927278637886047
42,4,10,ceil,4,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.693267822265625
42,8,2,nearest,8,0.6056249737739563,0.5375000238418579,0.5600000023841858,0.685305118560791
42,8,2,nearest,4,0.8268749713897705,0.8050000071525574,0.8224999904632568,0.475477933883667
42,8,2,floor,8,0.6206250190734863,0.550000011920929,0.5600000023841858,0.6882343888282776
42,8,2,floor,4,0.7918750047683716,0.7350000143051147,0.75,0.5063182711601257
42,8,2,ceil,8,0.6175000071525574,0.5450000166893005,0.5600000023841858,0.6867245435714722
42,8,2,ceil,4,0.71875,0.6850000023841858,0.7024999856948853,0.575856626033783
42,8,4,nearest,8,0.5818750262260437,0.5174999833106995,0.5400000214576721,0.6962882876396179
42,8,4,nearest,4,0.6150000095367432,0.5874999761581421,0.5950000286102295,0.6547772288322449
42,8,4,floor,8,0.5681250095367432,0.512499988079071,0.550000011920929,0.6914331912994385
42,8,4,floor,4,0.703125,0.6499999761581421,0.6850000023841858,0.580464243888855
42,8,4,ceil,8,0.5537499785423279,0.4699999988079071,0.5475000143051147,0.6969946026802063
42,8,4,ceil,4,0.7356250286102295,0.7300000190734863,0.7400000095367432,0.5126721858978271
42,8,6,nearest,8,0.6006249785423279,0.5375000238418579,0.5450000166893005,0.688191294670105
42,8,6,nearest,4,0.7087500095367432,0.675000011920929,0.7174999713897705,0.5817815065383911
42,8,6,floor,8,0.5975000262260437,0.5550000071525574,0.5550000071525574,0.6812476515769958
42,8,6,floor,4,0.7987499833106995,0.7649999856948853,0.7749999761581421,0.5116379857063293
42,8,6,ceil,8,0.6087499856948853,0.5299999713897705,0.574999988079071,0.6789355278015137
42,8,6,ceil,4,0.78125,0.7475000023841858,0.7749999761581421,0.5066545605659485
42,8,8,nearest,8,0.5762500166893005,0.5450000166893005,0.5625,0.6838635206222534
42,8,8,nearest,4,0.7737500071525574,0.7024999856948853,0.7425000071525574,0.5746185779571533
42,8,8,floor,8,0.6449999809265137,0.5724999904632568,0.5799999833106995,0.6869010329246521
42,8,8,floor,4,0.7643749713897705,0.7024999856948853,0.7099999785423279,0.5743913054466248
